Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2022 [YR2022],2023 [YR2023]
Mongolia,MNG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2849.2886145414,3140.67788364809,3465.73653626198
Montenegro,MNE,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.845376564367945,0.950915533962108,0.924709622987356
Morocco,MAR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,8.98848402414138,10.1606602430359,10.1314260970897
Mozambique,MOZ,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,65.465,63.8508333333333,63.8858333333333
Myanmar,MMR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1615.36666666667,1932.54333333333,2100
Namibia,NAM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,14.778675,16.3558583333333,18.4463083333333
Nauru,NRU,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.33122425957081,1.44166445896522,1.50519106560508
Nepal,NPL,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,118.134081604947,125.199457792609,132.115460088756
Netherlands,NLD,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.84549413889045,0.949623753156941,0.924839558470698
New Caledonia,NCL,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,100.880222566186,113.474367224106,110.34717131744
New Zealand,NZL,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.4138,1.57718333333333,1.62843333333333
Nicaragua,NIC,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,35.1710166666667,35.874421141967,36.4411942796586
Niger,NER,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,554.530675033104,623.759700911182,606.569750165917
Nigeria,NGA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,401.152029220779,425.979158066857,..
North America,NAC,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..
North Macedonia,MKD,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,52.1021583333333,58.5743916666667,56.9471916666667
Northern Mariana Islands,MNP,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1,1,1
Norway,NOR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,8.59,9.61416666666667,10.5633333333333
Not classified,INX,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..
OECD members,OED,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..
Oman,OMN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.3845,0.3845,0.3845
Other small states,OSS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..
Pacific island small states,PSS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..
Pakistan,PAK,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,162.906253747418,204.867187469982,280.356111655149
Palau,PLW,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1,1,1
Panama,PAN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1,1,1
Papua New Guinea,PNG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,3.50877192982456,3.51922970506745,3.58962274932016
Paraguay,PRY,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,6774.16273484849,6982.75237776692,7288.87205374128
