Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2022 [YR2022],2023 [YR2023]
Papua New Guinea,PNG,Forest area (% of land area),AG.LND.FRST.ZS,79.1022170207128,79.0281764783818,..
Paraguay,PRY,Forest area (% of land area),AG.LND.FRST.ZS,39.8261432167128,39.2502935554672,..
Peru,PER,Forest area (% of land area),AG.LND.FRST.ZS,56.373072890625,56.238047734375,..
Philippines,PHL,Forest area (% of land area),AG.LND.FRST.ZS,24.226045544488,24.3430593285709,..
Poland,POL,Forest area (% of land area),AG.LND.FRST.ZS,31.0192747468148,31.0594923061845,..
Portugal,PRT,Forest area (% of land area),AG.LND.FRST.ZS,36.154994891142,36.154994891142,..
Post-demographic dividend,PST,Forest area (% of land area),AG.LND.FRST.ZS,32.2979604407562,32.3036787412695,..
Pre-demographic dividend,PRE,Forest area (% of land area),AG.LND.FRST.ZS,25.6308376016006,25.4508766966686,..
Puerto Rico,PRI,Forest area (% of land area),AG.LND.FRST.ZS,56.011273957159,56.0665163472379,..
Qatar,QAT,Forest area (% of land area),AG.LND.FRST.ZS,0,0,..
Romania,ROU,Forest area (% of land area),AG.LND.FRST.ZS,30.1158292767733,30.1158292767733,..
Russian Federation,RUS,Forest area (% of land area),AG.LND.FRST.ZS,49.7843360788722,49.7843360788722,..
Rwanda,RWA,Forest area (% of land area),AG.LND.FRST.ZS,11.2282124037292,11.2687474665586,..
Samoa,WSM,Forest area (% of land area),AG.LND.FRST.ZS,57.9820143884892,57.8093525179856,..
San Marino,SMR,Forest area (% of land area),AG.LND.FRST.ZS,16.6666666666667,16.6666666666667,..
Sao Tome and Principe,STP,Forest area (% of land area),AG.LND.FRST.ZS,53.4166666666667,52.7708333333333,..
Saudi Arabia,SAU,Forest area (% of land area),AG.LND.FRST.ZS,0.454484134921779,0.454484134921779,..
Senegal,SEN,Forest area (% of land area),AG.LND.FRST.ZS,41.6982288474523,41.4904690178154,..
Serbia,SRB,Forest area (% of land area),AG.LND.FRST.ZS,32.3812581757641,32.3858163872042,..
Seychelles,SYC,Forest area (% of land area),AG.LND.FRST.ZS,73.2608695652174,73.2608695652174,..
Sierra Leone,SLE,Forest area (% of land area),AG.LND.FRST.ZS,34.8455250761984,34.5721806594625,..
Singapore,SGP,Forest area (% of land area),AG.LND.FRST.ZS,21.4345403899721,21.1838440111421,..
Sint Maarten (Dutch part),SXM,Forest area (% of land area),AG.LND.FRST.ZS,10.8823529411765,10.8823529411765,..
